code,name,country,exchange,currency,type,market
TAEE11,Transmissora Aliança de Energia Elétrica S.A,Brazil,SA,BRL,ETF,sa_etf
TAEE3,Transmissora Aliança de Energia Elétrica S.A,Brazil,SA,BRL,Common Stock,sa_stocks
TAEE4,Transmissora Aliança de Energia Elétrica S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
TAKP34,Takeda Pharmaceutical Company Limited,Brazil,SA,BRL,Preferred Stock,sa_bdr
TAP,Molson Coors Beverage Company,Consumer Staples,NYSE,USD,Common Stock,us_500
TASA3,Taurus Armas S.A,Brazil,SA,BRL,Common Stock,sa_stocks
TASA4,Taurus Armas S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
TCNO3,Tecnosolo Engenharia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
TCNO4,Tecnosolo Engenharia S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
TCOM,Trip.com Group Limited American Depositary Shares,US,Nasdaq,USD,Define Stock,us_tech_100
TCSA3,Tecnisa S.A,Brazil,SA,BRL,Common Stock,sa_stocks
TDG,TransDigm Group,Industrials,NYSE,USD,Common Stock,us_500
TDY,Teledyne Technologies,Industrials,NYSE,USD,Common Stock,us_500
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,US,Nasdaq,USD,Define Stock,us_tech_100
